file name	dimension	resolution	dwi count(b0/dwi)	max b-value	DWI contrast	neighboring DWI correlation	neighboring DWI correlation(masked)	#bad slices	outlier
sub-0002_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.055699	0.872281	0.598553	0	0
sub-0008_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.01091	0.871803	0.634113	2	0
sub-0009_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.019363	0.846694	0.607997	177	0
sub-0012_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.044754	0.877264	0.600857	2	0
sub-0013_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.268469	0.864599	0.776755	32	0
sub-0017_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.270959	0.83646	0.658618	83	0
sub-0019_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.033425	0.872916	0.587052	13	0
sub-0020_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.045167	0.868566	0.591185	64	0
sub-0022_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.331929	0.843816	0.600767	79	0
sub-0023_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.015845	0.782011	0.626156	949	0
sub-0028_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.054599	0.865667	0.5667	16	0
sub-0029_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.042722	0.831329	0.57338	79	0
sub-0031_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.211175	0.851394	0.761102	24	0
sub-0032_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.022941	0.879168	0.642594	1	0
sub-0033_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.017797	0.862885	0.640527	24	0
sub-0034_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.030512	0.876421	0.611695	9	0
sub-0035_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.069738	0.872547	0.626351	160	0
sub-0039_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.030069	0.86915	0.619276	16	0
sub-0042_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.344158	0.882678	0.80597	0	0
sub-0044_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.030709	0.879362	0.675613	9	0
sub-0045_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.040817	0.887247	0.579093	6	0
sub-0046_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.311158	0.863476	0.716244	59	0
sub-0048_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.377245	0.872963	0.738046	3	0
sub-0049_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.326226	0.844795	0.70731	97	0
sub-0050_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.033147	0.855779	0.645791	1	0
sub-0051_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.017894	0.815255	0.567316	175	0
sub-0051_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.055666	0.849118	0.538481	49	0
sub-0054_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.345204	0.840352	0.711704	4	0
sub-0056_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.012994	0.900228	0.610265	52	0
sub-0101_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.034135	0.884815	0.619125	0	0
sub-0103_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.028112	0.884704	0.617844	1	0
sub-0104_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.046405	0.877473	0.626142	1	0
sub-0105_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.03023	0.876222	0.599698	22	0
sub-0106_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.248773	0.850636	0.73513	30	0
sub-0107_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.029216	0.864662	0.631965	28	0
sub-0107_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.035739	0.879858	0.660899	3	0
sub-0109_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.023036	0.767164	0.547682	1303	0
sub-0110_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.272363	0.883775	0.804769	173	0
sub-0110_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.268181	0.887176	0.803041	15	0
sub-0111_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.064934	0.84806	0.588351	142	0
sub-0111_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.037987	0.819312	0.604784	403	0
sub-0113_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.041882	0.872604	0.601252	5	0
sub-0114_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.384653	0.894236	0.783407	14	0
sub-0115_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.045021	0.765546	0.558771	1208	0
sub-0117_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.250759	0.884275	0.774245	117	0
sub-0117_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.276679	0.811871	0.610806	428	0
sub-0118_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.057734	0.827549	0.594462	109	0
sub-0121_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.050779	0.880226	0.588373	3	0
sub-0122_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.05201	0.875655	0.623217	1	0
sub-0123_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.042345	0.878938	0.644791	15	0
sub-0124_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.340082	0.877509	0.763286	2	0
sub-0127_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.056898	0.86499	0.616845	28	0
sub-0128_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.03667	0.812624	0.58561	257	0
sub-0130_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.022958	0.83952	0.504389	1167	0
sub-0131_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.020292	0.88298	0.613558	51	0
sub-0133_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.039347	0.87846	0.634217	39	0
sub-0133_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.367538	0.881379	0.796832	1	0
sub-0134_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.040591	0.876972	0.629801	5	0
sub-0136_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.01849	0.857075	0.532389	662	0
sub-0137_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.031703	0.894684	0.625901	11	0
sub-0138_ses-02_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.027004	0.866035	0.620961	28	0
sub-0140_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.019426	0.753111	0.556135	1201	0
sub-0141_ses-01_dwi.sz	128 128 55	1.79688 1.79688 2	11/94	1150	1.021058	0.875746	0.61996	7	0
